磁场强度/nT,time
49412.08,095620
49034.047,095625
49434.87,095630
49452.633,095635
49535.242,095640
49494.016,095645
49365.82,095650
49349.13,095655
49436.91,095700
49408.742,095705
49406.582,095710
49406.19,095715
49404.87,095720
49406.52,095725
49405.438,095730
49406.125,095735
49406.07,095740
49406.105,095745
49404.562,095750
49398.652,095755
49399.086,095800
49403.625,095805
49402.258,095810
49401.062,095815
49405.273,095820
49402.945,095825
49401.68,095830
49401.652,095835
49400.992,095840
49402.555,095845
49402.496,095850
49402.586,095855
49402.5,095900
49402.656,095905
49402.773,095910
49402.195,095915
49402.42,095920
49402.49,095925
49402.496,095930
49402.492,095935
49402.508,095940
49402.703,095945
49402.832,095950
49402.7,095955
49402.715,100000
49402.43,100005
49402.582,100010
49401.92,100015
49402.168,100020
49402.19,100025
49402.21,100030
49401.79,100035
49401.965,100040
49401.99,100045
49402.2,100050
49402.605,100055
49405.29,100100
49405.242,100105
49405.367,100110
49405.36,100115
49398.54,100120
49403.293,100125
49403.285,100130
49391.742,100135
49388.195,100140
49387.6,100145
49388.105,100150
49388.113,100155
49388.05,100200
49388.1,100205
49388.008,100210
49387.492,100215
49387.676,100220
49387.844,100225
49387.703,100230
49387.88,100235
49387.895,100240
49387.89,100245
49387.773,100250
49388.113,100255
49387.965,100300
49387.785,100305
49387.598,100310
49387.242,100315
49385.3,100320
49385.344,100325
49384.82,100330
49388.613,100335
49387.895,100340
49387.84,100345
49387.906,100350
49387.75,100355
49387.242,100400
49386.94,100405
49387.77,100410
49387.906,100415
49387.87,100420
49387.875,100425
49387.758,100430
49387.934,100435
49388.023,100440
49387.57,100445
49387.035,100450
49387.133,100455
49387.168,100500
49387.426,100505
49387.605,100510
49387.016,100515
49387.66,100520
49388.09,100525
49387.62,100530
49387.49,100535
49387.523,100540
49387.6,100545
49387.56,100550
49387.508,100555
49386.93,100600
49387.074,100605
49387.1,100610
49387.176,100615
49387.348,100620
49387.61,100625
49387.77,100630
49387.758,100635
49387.582,100640
49387.54,100645
49387.277,100650
49386.992,100655
49387.414,100700
49387.41,100705
49387.395,100710
49387.242,100715
49387.23,100720
49387.31,100725
49387.156,100730
49387.453,100735
49387.434,100740
49387.066,100745
49387.004,100750
49385.496,100755
49386.203,100800
49386.78,100805
49386.79,100810
49386.867,100815
49386.86,100820
49386.844,100825
49386.95,100830
49387.047,100835
49387.094,100840
49387.023,100845
49386.797,100850
49386.668,100855
49386.63,100900
49386.625,100905
49386.65,100910
49386.566,100915
49386.582,100920
49386.445,100925
49386.484,100930
