/X Y nT sq time 
  0 190.0 49412.08 87.0 095620.0 
 0 191.0 49034.047 13.0 095625.0 
 0 192.0 49434.87 100.0 095630.0 
 0 193.0 49452.633 100.0 095635.0 
 0 194.0 49535.242 100.0 095640.0 
 0 195.0 49494.016 100.0 095645.0 
 0 196.0 49365.82 100.0 095650.0 
 0 197.0 49349.13 100.0 095655.0 
 0 198.0 49436.91 100.0 095700.0 
 0 199.0 49408.742 100.0 095705.0 
 0 200.0 49406.582 100.0 095710.0 
 0 201.0 49406.19 100.0 095715.0 
 0 202.0 49404.87 100.0 095720.0 
 0 203.0 49406.52 100.0 095725.0 
 0 204.0 49405.438 100.0 095730.0 
 0 205.0 49406.125 100.0 095735.0 
 0 206.0 49406.07 100.0 095740.0 
 0 207.0 49406.105 100.0 095745.0 
 0 208.0 49404.562 100.0 095750.0 
 0 209.0 49398.652 100.0 095755.0 
 0 210.0 49399.086 100.0 095800.0 
 0 211.0 49403.625 100.0 095805.0 
 0 212.0 49402.258 100.0 095810.0 
 0 213.0 49401.062 100.0 095815.0 
 0 214.0 49405.273 100.0 095820.0 
 0 215.0 49402.945 100.0 095825.0 
 0 216.0 49401.68 100.0 095830.0 
 0 217.0 49401.652 100.0 095835.0 
 0 218.0 49400.992 100.0 095840.0 
 0 219.0 49402.555 100.0 095845.0 
 0 220.0 49402.496 100.0 095850.0 
 0 221.0 49402.586 100.0 095855.0 
 0 222.0 49402.5 100.0 095900.0 
 0 223.0 49402.656 100.0 095905.0 
 0 224.0 49402.773 100.0 095910.0 
 0 225.0 49402.195 100.0 095915.0 
 0 226.0 49402.42 100.0 095920.0 
 0 227.0 49402.49 100.0 095925.0 
 0 228.0 49402.496 100.0 095930.0 
 0 229.0 49402.492 100.0 095935.0 
 0 230.0 49402.508 100.0 095940.0 
 0 231.0 49402.703 100.0 095945.0 
 0 232.0 49402.832 100.0 095950.0 
 0 233.0 49402.7 100.0 095955.0 
 0 234.0 49402.715 100.0 100000.0 
 0 235.0 49402.43 100.0 100005.0 
 0 236.0 49402.582 100.0 100010.0 
 0 237.0 49401.92 100.0 100015.0 
 0 238.0 49402.168 100.0 100020.0 
 0 239.0 49402.19 100.0 100025.0 
 0 240.0 49402.21 100.0 100030.0 
 0 241.0 49401.79 100.0 100035.0 
 0 242.0 49401.965 100.0 100040.0 
 0 243.0 49401.99 100.0 100045.0 
 0 244.0 49402.2 100.0 100050.0 
 0 245.0 49402.605 100.0 100055.0 
 0 246.0 49405.29 100.0 100100.0 
 0 247.0 49405.242 100.0 100105.0 
 0 248.0 49405.367 100.0 100110.0 
 0 249.0 49405.36 100.0 100115.0 
 0 250.0 49398.54 100.0 100120.0 
 0 251.0 49403.293 100.0 100125.0 
 0 252.0 49403.285 100.0 100130.0 
 0 253.0 49391.742 100.0 100135.0 
 0 254.0 49388.195 100.0 100140.0 
 0 255.0 49387.6 100.0 100145.0 
 0 256.0 49388.105 100.0 100150.0 
 0 257.0 49388.113 100.0 100155.0 
 0 258.0 49388.05 100.0 100200.0 
 0 259.0 49388.1 100.0 100205.0 
 0 260.0 49388.008 100.0 100210.0 
 0 261.0 49387.492 100.0 100215.0 
 0 262.0 49387.676 100.0 100220.0 
 0 263.0 49387.844 100.0 100225.0 
 0 264.0 49387.703 100.0 100230.0 
 0 265.0 49387.88 100.0 100235.0 
 0 266.0 49387.895 100.0 100240.0 
 0 267.0 49387.89 100.0 100245.0 
 0 268.0 49387.773 100.0 100250.0 
 0 269.0 49388.113 100.0 100255.0 
 0 270.0 49387.965 100.0 100300.0 
 0 271.0 49387.785 100.0 100305.0 
 0 272.0 49387.598 100.0 100310.0 
 0 273.0 49387.242 100.0 100315.0 
 0 274.0 49385.3 100.0 100320.0 
 0 275.0 49385.344 100.0 100325.0 
 0 276.0 49384.82 100.0 100330.0 
 0 277.0 49388.613 100.0 100335.0 
 0 278.0 49387.895 100.0 100340.0 
 0 279.0 49387.84 100.0 100345.0 
 0 280.0 49387.906 100.0 100350.0 
 0 281.0 49387.75 100.0 100355.0 
 0 282.0 49387.242 100.0 100400.0 
 0 283.0 49386.94 100.0 100405.0 
 0 284.0 49387.77 100.0 100410.0 
 0 285.0 49387.906 100.0 100415.0 
 0 286.0 49387.87 100.0 100420.0 
 0 287.0 49387.875 100.0 100425.0 
 0 288.0 49387.758 100.0 100430.0 
 0 289.0 49387.934 100.0 100435.0 
 0 290.0 49388.023 100.0 100440.0 
 0 291.0 49387.57 100.0 100445.0 
 0 292.0 49387.035 100.0 100450.0 
 0 293.0 49387.133 100.0 100455.0 
 0 294.0 49387.168 100.0 100500.0 
 0 295.0 49387.426 100.0 100505.0 
 0 296.0 49387.605 100.0 100510.0 
 0 297.0 49387.016 100.0 100515.0 
 0 298.0 49387.66 100.0 100520.0 
 0 299.0 49388.09 100.0 100525.0 
 0 300.0 49387.62 100.0 100530.0 
 0 301.0 49387.49 100.0 100535.0 
 0 302.0 49387.523 100.0 100540.0 
